[0829/214023.222:INFO:CONSOLE(150)] "Event handler of 'x-storagemutated-1' event must be added on the initial evaluation of worker script.", source: https://static.whatsapp.net/rsrc.php/v3/yn/r/69ROVfnqu4V.js?_nc_x=Ij3Wp8lg5Kz (150)
[0829/214025.704:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Feature xr-spatial-tracking's parameters are ignored.", source:  (0)
[0829/214025.705:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'attribution-reporting'.", source:  (0)
[0829/214025.705:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'compute-pressure'.", source:  (0)
[0829/214025.705:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'interest-cohort'.", source:  (0)
[0829/214025.705:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'private-state-token-issuance'.", source:  (0)
[0829/214025.706:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'shared-storage'.", source:  (0)
[0829/214025.706:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'shared-storage-select-url'.", source:  (0)
[0829/214025.706:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'private-state-token-redemption'.", source:  (0)
[0829/214025.706:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'unload'.", source:  (0)
[0829/214025.706:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'window-management'.", source:  (0)
[0829/214030.208:INFO:CONSOLE(342)] "WAWebLoggerWorker initialized", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/tDW1kN_ODhC.js?_nc_x=Ij3Wp8lg5Kz (342)
[0829/214030.208:INFO:CONSOLE(342)] "[storage] start setSchemaVersions from fts worker interface", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/tDW1kN_ODhC.js?_nc_x=Ij3Wp8lg5Kz (342)
[0829/214030.208:INFO:CONSOLE(342)] "[storage] set schema versions: [model-storage,158,fts-storage,8,jobs-storage,1,lru-media-storage-idb,2,offd-storage,4,qpl-storage,0,signal-storage,6,worker-storage,1,sw,2,wawc,14,wawc_db_enc,2]. is worker? true", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/tDW1kN_ODhC.js?_nc_x=Ij3Wp8lg5Kz (342)
[0829/214033.142:INFO:CONSOLE(342)] "FTS:Delegate: start indexer", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/tDW1kN_ODhC.js?_nc_x=Ij3Wp8lg5Kz (342)
[0829/214033.142:INFO:CONSOLE(342)] "FTS:Delegate: start perform init", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/tDW1kN_ODhC.js?_nc_x=Ij3Wp8lg5Kz (342)
[0829/214033.142:INFO:CONSOLE(342)] "FTS:Delegate: schema versions ready", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/tDW1kN_ODhC.js?_nc_x=Ij3Wp8lg5Kz (342)
[0829/214033.143:INFO:CONSOLE(342)] "FTS:Delegate: before db initialization", source: https://static.whatsapp.net/rsrc.php/v3/ya/r/tDW1kN_ODhC.js?_nc_x=Ij3Wp8lg5Kz (342)
